"Name","State","Type","Avg.SAT","Size","Acceptance.Rate","Tuition"
"Castleton State College","VT","Public",875,1547,0.747812251392205,7656
"Eastern Washington University","WA","Public",750,6561,0.855221873599284,7974
"Gonzaga University","WA","Private",1031,2523,0.808059384941676,13000
"Pacific Lutheran University","WA","Private",1005,2580,0.868371802869623,13312
"Seattle University","WA","Private",989,2993,0.728132387706858,12825
"St. Martin's College","WA","Private",940,494,0.863874345549737,11550
"University of Puget Sound","WA","Private",1101,2738,0.698813056379822,16230
"Western Washington University","WA","Public",1000,8909,0.642213410237923,8124
"Whitman College","WA","Private",1150,1220,0.536270822138634,16670
"Whitworth College","WA","Private",1034,1270,0.826048171275648,12660
"Beloit College","WI","Private",1124,1085,0.699242424242424,16304
"Carthage College","WI","Private",980,1405,0.883044554455442,13125
"Marquette University","WI","Private",1053,7016,0.892857142857143,11610
"Mount Mary College","WI","Private",1030,931,0.923404255319149,8950
"Northland College","WI","Private",965,726,0.884233737596474,9570
"Ripon College","WI","Private",1070,735,0.85349233390119,15200
"St. Norbert College","WI","Private",1167,1946,0.93178410794603,12140
"Univ. of Wisconsin at Eau Claire","WI","Public",985,8516,0.788968406353642,6996
"Alderson-Broaddus College","WV","Private",837,799,0.855670103092784,10468
"Bethany College","WV","Private",927,712,0.775602409638557,15700
"Bluefield State College","WV","Public",780,1463,0.795411089866156,4498
"Davis & Elkins College","WV","Private",836,754,0.796502384737678,9400
"Marshall University","WV","Private",915,7703,0.867486985328915,5094
"University of Charleston","WV","Private",948,771,0.784457478005863,9500
"Shepherd College","WV","Private",903,2452,0.830604982206405,4694
"West Virginia University","WV","Public",946,14524,0.810072689511941,6370
"West Virginia Wesleyan College","WV","Private",928,1509,0.893997445721582,14200
"Wheeling Jesuit College","WV","Private",912,971,0.836101882613507,10500
